cell_id,task_id,pair_id,pair_variant,view_id,tool_pool_size,pool_repeat,selected_tool_id,exactly_one_tool_call,arguments_json_valid,arguments_exact,primary_endpoint_hit,family_hit,alternative_hit,scientific_hit,primary_end_to_end,scientific_end_to_end,finish_reason,error_type,reasoning_content_observed,reasoning_token_count,api_latency_ms
A002-A003-FS-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,73,1859.8193
A002-A003-FS-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,52,2036.8799
A002-A003-FS-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,188,2471.4393
A002-A003-FS-R1-E3-MP-FE2O3-ELEMENTS-A002-A003-120-B-LEXICAL8-V1,E3-MP-FE2O3-ELEMENTS,PAIR-A002-A003-FE2O3,element_stoichiometry,A002-A003-120-B-LEXICAL8-V1,120,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,115,3364.4084
A002-A003-FS-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-A-LEXICAL8-V1,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-A-LEXICAL8-V1,17,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,36,1539.5104
A002-A003-FS-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-17-B-LEXICAL8-V1,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-17-B-LEXICAL8-V1,17,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,52,2054.3855
A002-A003-FS-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-A-LEXICAL8-V1,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-A-LEXICAL8-V1,120,A,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,43,1788.4856
A002-A003-FS-R1-E3-MP-FE2O3-MOLAR-MASS-A002-A003-120-B-LEXICAL8-V1,E3-MP-FE2O3-MOLAR-MASS,PAIR-A002-A003-FE2O3,molar_mass,A002-A003-120-B-LEXICAL8-V1,120,B,A003,True,True,True,True,True,False,True,True,True,tool_calls,none,True,87,2337.7341
A002-A003-FS-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-A-LEXICAL8-V1,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-A-LEXICAL8-V1,17,A,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,71,2607.1964
A002-A003-FS-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-17-B-LEXICAL8-V1,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-17-B-LEXICAL8-V1,17,B,A002,True,True,True,True,True,False,True,True,True,tool_calls,none,True,37,1745.1277
A002-A003-FS-R1-E3-MP-H2SO4-ELEMENTS-A002-A003-120-A-LEXICAL8-V1,E3-MP-H2SO4-ELEMENTS,PAIR-A002-A003-H2SO4,element_stoichiometry,A002-A003-120-A-LEXICAL8-V1,120,A,A002,True,False,False,True,True,False,True,False,False,length,invalid_arguments_json,True,220,3416.2386
