task_id,split,tool_id,policy_action,input_validation_passed,production_execution_success,production_output_matches_reference,error_code,error
E1C-A001-001,runner_development,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-002,runner_development,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-003,runner_development,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-004,runner_development,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-005,end_to_end_evaluation,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-006,end_to_end_evaluation,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-007,end_to_end_evaluation,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-008,end_to_end_evaluation,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-009,end_to_end_evaluation,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A001-010,end_to_end_evaluation,A001,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-001,runner_development,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-002,runner_development,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-003,runner_development,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-004,runner_development,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-005,end_to_end_evaluation,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-006,end_to_end_evaluation,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-007,end_to_end_evaluation,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-008,end_to_end_evaluation,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-009,end_to_end_evaluation,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A002-010,end_to_end_evaluation,A002,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-001,runner_development,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-002,runner_development,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-003,runner_development,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-004,runner_development,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-005,runner_development,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-006,runner_development,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-007,runner_development,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-008,runner_development,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-009,end_to_end_evaluation,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-010,end_to_end_evaluation,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-011,end_to_end_evaluation,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-012,end_to_end_evaluation,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-013,end_to_end_evaluation,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-014,end_to_end_evaluation,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-015,end_to_end_evaluation,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-016,end_to_end_evaluation,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-017,end_to_end_evaluation,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-018,end_to_end_evaluation,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A003-019,end_to_end_evaluation,A003,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A003-020,end_to_end_evaluation,A003,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A004-001,runner_development,A004,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A004-002,runner_development,A004,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A004-003,runner_development,A004,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A004-004,runner_development,A004,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A004-005,end_to_end_evaluation,A004,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A004-006,end_to_end_evaluation,A004,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A004-007,end_to_end_evaluation,A004,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A004-008,end_to_end_evaluation,A004,CALL_VERIFIED_TOOL,True,True,True,,
E1C-A004-009,end_to_end_evaluation,A004,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A004-010,end_to_end_evaluation,A004,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A004-011,end_to_end_evaluation,A004,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-A004-012,end_to_end_evaluation,A004,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-001,runner_development,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-002,runner_development,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-003,runner_development,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-004,runner_development,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-005,end_to_end_evaluation,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-006,end_to_end_evaluation,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-007,end_to_end_evaluation,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
E1C-B019-008,end_to_end_evaluation,B019,ANSWER_WITHOUT_TOOL,True,True,True,,
